customer_id,age,gender,city,segment
1,56,Male,Almaty,mass
2,69,Male,Astana,mass
3,46,Male,Almaty,mass
4,32,Female,Astana,mass
5,60,Male,Almaty,mass
6,25,Male,Shymkent,mass
7,38,Male,Astana,mass
8,56,Female,Shymkent,premium
9,36,Female,Astana,mass
10,40,Male,Shymkent,mass
11,28,Male,Almaty,mass
12,28,Male,Almaty,mass
13,41,Male,Almaty,mass
14,53,Female,Astana,mass
15,57,Female,Shymkent,mass
16,41,Female,Almaty,mass
17,20,Female,Shymkent,mass
18,39,Male,Shymkent,mass
19,19,Male,Almaty,mass
20,41,Male,Almaty,premium
21,61,Female,Shymkent,mass
22,47,Male,Almaty,mass
23,55,Female,Almaty,premium
24,19,Female,Almaty,mass
25,38,Male,Astana,mass
26,50,Male,Shymkent,mass
27,29,Male,Shymkent,premium
28,39,Female,Astana,mass
29,61,Male,Shymkent,mass
30,42,Female,Almaty,mass
31,66,Male,Shymkent,premium
32,44,Female,Almaty,mass
33,59,Female,Astana,mass
34,45,Male,Almaty,mass
35,33,Female,Shymkent,mass
36,32,Female,Shymkent,mass
37,64,Male,Shymkent,premium
38,68,Female,Astana,mass
39,61,Male,Astana,mass
40,69,Female,Shymkent,mass
41,20,Male,Almaty,premium
42,54,Male,Astana,mass
43,68,Female,Shymkent,mass
44,24,Female,Shymkent,premium
45,38,Female,Astana,premium
46,26,Female,Astana,premium
47,56,Female,Astana,premium
48,35,Male,Almaty,mass
49,21,Female,Almaty,mass
50,42,Male,Shymkent,mass
51,31,Male,Astana,premium
52,67,Female,Almaty,mass
53,26,Male,Astana,mass
54,43,Male,Shymkent,mass
55,19,Male,Almaty,mass
56,37,Male,Almaty,mass
57,45,Female,Almaty,premium
58,64,Male,Shymkent,premium
59,24,Female,Astana,mass
60,61,Female,Almaty,mass
61,25,Male,Shymkent,mass
62,64,Female,Astana,mass
63,52,Female,Shymkent,premium
64,31,Female,Astana,mass
65,34,Male,Shymkent,mass
66,53,Female,Astana,premium
67,67,Female,Almaty,mass
68,57,Female,Astana,mass
69,21,Male,Shymkent,mass
70,19,Female,Shymkent,mass
71,23,Male,Astana,mass
72,59,Male,Almaty,mass
73,21,Male,Almaty,mass
74,46,Male,Astana,premium
75,35,Male,Astana,mass
76,43,Male,Shymkent,mass
77,61,Female,Almaty,mass
78,51,Male,Astana,mass
79,27,Female,Almaty,mass
80,53,Female,Astana,mass
81,31,Male,Astana,mass
82,48,Female,Almaty,premium
83,65,Female,Astana,mass
84,32,Female,Astana,mass
85,25,Female,Shymkent,premium
86,31,Male,Astana,mass
87,40,Female,Astana,mass
88,57,Male,Astana,mass
89,38,Female,Shymkent,mass
90,33,Female,Almaty,mass
91,62,Male,Shymkent,mass
92,35,Female,Shymkent,mass
93,64,Female,Almaty,mass
94,41,Female,Shymkent,mass
95,43,Male,Almaty,mass
96,42,Female,Shymkent,mass
97,62,Male,Almaty,mass
98,58,Female,Astana,mass
99,46,Male,Shymkent,premium
100,32,Male,Shymkent,mass
101,62,Female,Shymkent,mass
102,18,Female,Shymkent,mass
103,42,Male,Astana,mass
104,24,Male,Shymkent,premium
105,26,Female,Astana,premium
106,41,Male,Astana,mass
107,18,Female,Astana,mass
108,61,Female,Astana,mass
109,25,Female,Almaty,premium
110,41,Female,Almaty,mass
111,28,Male,Shymkent,mass
112,68,Female,Almaty,mass
113,34,Male,Almaty,mass
114,25,Female,Shymkent,mass
115,52,Male,Shymkent,mass
116,52,Female,Shymkent,mass
117,50,Male,Almaty,mass
118,22,Male,Almaty,mass
119,59,Female,Shymkent,mass
120,56,Female,Astana,mass
121,58,Female,Shymkent,mass
122,45,Female,Astana,mass
123,24,Male,Astana,mass
124,26,Female,Shymkent,mass
125,25,Male,Shymkent,mass
126,29,Male,Shymkent,mass
127,51,Female,Almaty,mass
128,50,Male,Astana,premium
129,65,Male,Almaty,mass
130,40,Male,Almaty,premium
131,41,Male,Shymkent,mass
132,54,Female,Almaty,mass
133,52,Female,Shymkent,mass
134,61,Female,Astana,mass
135,57,Female,Shymkent,mass
136,39,Male,Almaty,mass
137,44,Male,Almaty,mass
138,52,Female,Shymkent,mass
139,18,Female,Shymkent,mass
140,52,Female,Almaty,mass
141,54,Male,Astana,mass
142,64,Female,Astana,mass
143,31,Female,Shymkent,mass
144,20,Female,Astana,mass
145,18,Male,Almaty,mass
146,22,Male,Shymkent,mass
147,43,Male,Almaty,premium
148,31,Male,Almaty,premium
149,56,Male,Astana,mass
150,44,Male,Shymkent,mass
151,26,Male,Shymkent,mass
152,32,Male,Astana,mass
153,32,Female,Almaty,mass
154,43,Female,Almaty,mass
155,59,Male,Almaty,premium
156,30,Male,Almaty,mass
157,68,Female,Shymkent,mass
158,49,Male,Shymkent,mass
159,56,Male,Astana,mass
160,66,Male,Astana,mass
161,69,Female,Shymkent,mass
162,49,Female,Shymkent,mass
163,21,Female,Almaty,mass
164,47,Female,Almaty,premium
165,54,Female,Astana,mass
166,40,Male,Shymkent,mass
167,56,Female,Astana,mass
168,62,Male,Shymkent,premium
169,32,Male,Almaty,mass
170,60,Female,Astana,mass
171,46,Female,Astana,premium
172,53,Male,Shymkent,premium
173,30,Male,Almaty,mass
174,49,Male,Astana,premium
175,24,Female,Almaty,mass
176,68,Female,Astana,mass
177,39,Female,Almaty,mass
178,45,Female,Shymkent,mass
179,19,Female,Astana,mass
180,59,Male,Astana,mass
181,62,Female,Almaty,mass
182,23,Male,Almaty,mass
183,45,Male,Astana,mass
184,45,Male,Shymkent,mass
185,61,Female,Almaty,mass
186,61,Female,Almaty,mass
187,37,Female,Almaty,mass
188,47,Male,Astana,mass
189,28,Male,Astana,premium
190,45,Male,Astana,mass
191,42,Male,Astana,mass
192,56,Male,Shymkent,mass
193,50,Male,Shymkent,mass
194,18,Female,Astana,mass
195,44,Female,Shymkent,premium
196,69,Female,Almaty,mass
197,30,Female,Almaty,mass
198,58,Male,Almaty,mass
199,20,Male,Astana,mass
200,56,Female,Almaty,mass
201,23,Male,Shymkent,mass
202,25,Female,Astana,mass
203,44,Female,Shymkent,mass
204,26,Female,Almaty,mass
205,54,Male,Almaty,premium
206,50,Female,Almaty,mass
207,68,Female,Astana,mass
208,59,Female,Shymkent,mass
209,61,Male,Astana,mass
210,41,Male,Astana,premium
211,32,Female,Almaty,mass
212,49,Male,Astana,mass
213,49,Male,Astana,premium
214,41,Male,Almaty,mass
215,58,Male,Astana,premium
216,69,Male,Almaty,mass
217,66,Male,Almaty,mass
218,66,Male,Almaty,mass
219,69,Male,Almaty,mass
220,29,Male,Astana,premium
221,56,Male,Almaty,mass
222,19,Female,Almaty,mass
223,20,Female,Astana,mass
224,66,Male,Astana,mass
225,54,Female,Shymkent,mass
226,66,Female,Astana,premium
227,34,Male,Astana,mass
228,66,Male,Shymkent,mass
229,19,Male,Astana,mass
230,19,Female,Astana,mass
231,45,Female,Astana,mass
232,40,Male,Astana,mass
233,54,Male,Shymkent,premium
234,49,Male,Astana,mass
235,50,Female,Astana,mass
236,18,Female,Shymkent,mass
237,36,Female,Almaty,premium
238,19,Female,Shymkent,mass
239,61,Male,Almaty,mass
240,43,Male,Shymkent,mass
241,49,Male,Shymkent,mass
242,23,Male,Astana,mass
243,49,Female,Almaty,mass
244,21,Female,Astana,mass
245,28,Male,Almaty,mass
246,34,Male,Shymkent,premium
247,55,Female,Shymkent,premium
248,41,Male,Almaty,mass
249,22,Female,Astana,mass
250,69,Male,Astana,mass
251,51,Male,Astana,mass
252,23,Male,Astana,mass
253,39,Male,Shymkent,mass
254,28,Male,Shymkent,mass
255,65,Male,Shymkent,premium
256,33,Male,Shymkent,mass
257,50,Female,Shymkent,mass
258,26,Female,Astana,mass
259,23,Female,Astana,mass
260,33,Female,Astana,mass
261,46,Female,Astana,mass
262,20,Male,Shymkent,mass
263,37,Male,Shymkent,mass
264,53,Female,Shymkent,mass
265,36,Male,Almaty,mass
266,43,Female,Astana,premium
267,20,Female,Astana,premium
268,36,Male,Shymkent,premium
269,37,Male,Astana,mass
270,49,Male,Astana,mass
271,24,Female,Shymkent,premium
272,69,Male,Almaty,mass
273,58,Female,Almaty,mass
274,50,Female,Almaty,mass
275,57,Female,Shymkent,mass
276,56,Male,Astana,premium
277,35,Male,Shymkent,mass
278,57,Female,Shymkent,mass
279,18,Male,Astana,mass
280,28,Male,Almaty,mass
281,45,Male,Almaty,premium
282,42,Female,Shymkent,mass
283,67,Female,Almaty,mass
284,40,Male,Shymkent,premium
285,48,Female,Shymkent,mass
286,47,Male,Astana,mass
287,59,Male,Astana,mass
288,52,Male,Astana,mass
289,24,Male,Shymkent,mass
290,33,Female,Astana,mass
291,43,Female,Almaty,mass
292,65,Female,Almaty,mass
293,69,Male,Shymkent,premium
294,66,Male,Shymkent,mass
295,19,Male,Astana,mass
296,18,Female,Shymkent,mass
297,65,Male,Shymkent,mass
298,29,Female,Almaty,mass
299,22,Female,Almaty,premium
300,54,Female,Astana,premium
301,49,Female,Shymkent,mass
302,26,Female,Shymkent,premium
303,58,Female,Almaty,mass
304,52,Male,Shymkent,mass
305,36,Male,Almaty,mass
306,65,Female,Astana,premium
307,33,Female,Almaty,mass
308,20,Male,Shymkent,mass
309,37,Female,Astana,mass
310,41,Female,Almaty,mass
311,50,Male,Almaty,mass
312,41,Female,Astana,premium
313,69,Female,Astana,premium
314,28,Female,Almaty,mass
315,66,Male,Shymkent,premium
316,25,Male,Almaty,mass
317,53,Male,Astana,premium
318,55,Female,Almaty,mass
319,57,Female,Astana,mass
320,37,Male,Astana,mass
321,52,Female,Shymkent,premium
322,65,Female,Astana,mass
323,42,Female,Astana,mass
324,52,Female,Shymkent,mass
325,42,Female,Astana,mass
326,46,Male,Shymkent,mass
327,35,Female,Shymkent,mass
328,63,Male,Astana,premium
329,35,Female,Astana,mass
330,19,Male,Almaty,mass
331,52,Female,Shymkent,mass
332,33,Male,Almaty,premium
333,58,Female,Astana,premium
334,53,Male,Almaty,mass
335,50,Female,Shymkent,mass
336,21,Male,Almaty,mass
337,50,Female,Shymkent,mass
338,31,Male,Astana,premium
339,38,Male,Astana,mass
340,65,Female,Shymkent,mass
341,37,Female,Astana,mass
342,25,Male,Astana,premium
343,24,Female,Astana,mass
344,20,Male,Astana,mass
345,34,Male,Shymkent,mass
346,50,Male,Almaty,premium
347,65,Female,Almaty,mass
348,29,Male,Astana,mass
349,68,Male,Almaty,mass
350,39,Female,Almaty,mass
351,39,Female,Astana,mass
352,63,Female,Astana,mass
353,47,Female,Almaty,mass
354,55,Male,Shymkent,mass
355,55,Male,Astana,mass
356,62,Male,Shymkent,premium
357,68,Male,Almaty,mass
358,25,Female,Astana,premium
359,44,Male,Shymkent,mass
360,44,Male,Astana,mass
361,51,Female,Almaty,mass
362,38,Male,Shymkent,mass
363,47,Male,Almaty,mass
364,50,Male,Almaty,mass
365,45,Male,Astana,mass
366,64,Male,Shymkent,premium
367,50,Male,Almaty,mass
368,22,Female,Almaty,premium
369,65,Female,Shymkent,mass
370,36,Male,Almaty,mass
371,21,Male,Almaty,mass
372,52,Female,Shymkent,mass
373,66,Male,Shymkent,mass
374,34,Male,Shymkent,mass
375,61,Male,Shymkent,mass
376,45,Female,Astana,mass
377,47,Male,Shymkent,mass
378,46,Female,Astana,premium
379,63,Male,Astana,premium
380,23,Female,Astana,mass
381,52,Female,Almaty,mass
382,58,Male,Astana,mass
383,54,Female,Astana,mass
384,41,Male,Almaty,premium
385,46,Female,Almaty,mass
386,66,Male,Almaty,mass
387,63,Male,Shymkent,mass
388,48,Female,Almaty,mass
389,52,Male,Almaty,mass
390,50,Male,Astana,premium
391,69,Female,Almaty,mass
392,38,Male,Shymkent,mass
393,49,Male,Almaty,premium
394,40,Female,Shymkent,mass
395,50,Female,Almaty,mass
396,20,Male,Almaty,mass
397,35,Male,Almaty,mass
398,42,Female,Almaty,premium
399,59,Female,Shymkent,mass
400,48,Male,Shymkent,premium
401,20,Female,Astana,mass
402,57,Male,Shymkent,premium
403,63,Male,Almaty,mass
404,41,Male,Astana,premium
405,67,Male,Astana,mass
406,49,Male,Astana,premium
407,64,Female,Almaty,mass
408,39,Female,Shymkent,mass
409,40,Female,Almaty,premium
410,19,Female,Astana,mass
411,44,Male,Almaty,premium
412,59,Male,Almaty,mass
413,19,Male,Shymkent,mass
414,43,Male,Shymkent,mass
415,34,Female,Astana,mass
416,57,Male,Almaty,mass
417,50,Male,Almaty,mass
418,26,Female,Shymkent,mass
419,60,Female,Almaty,mass
420,65,Female,Almaty,mass
421,56,Female,Almaty,mass
422,46,Male,Shymkent,mass
423,59,Male,Astana,mass
424,43,Female,Astana,mass
425,52,Male,Almaty,premium
426,67,Male,Astana,premium
427,42,Male,Shymkent,mass
428,41,Female,Shymkent,mass
429,30,Male,Astana,premium
430,24,Female,Astana,mass
431,53,Male,Almaty,mass
432,62,Male,Astana,mass
433,37,Male,Almaty,mass
434,18,Female,Almaty,mass
