account_id,customer_id,balance
1,1,401415
2,2,600541
3,3,298335
4,4,796643
5,5,111086
6,6,456285
7,7,974250
8,8,414758
9,9,424528
10,10,438458
11,11,888403
12,12,618071
13,13,649969
14,14,612181
15,15,972892
16,16,499797
17,17,158763
18,18,602248
19,19,870820
20,20,22601
21,21,411236
22,22,139227
23,23,724479
24,24,998555
25,25,692137
26,26,281854
27,27,370858
28,28,679892
29,29,653015
30,30,936105
31,31,587515
32,32,660327
33,33,608577
34,34,151094
35,35,436679
36,36,730031
37,37,792154
38,38,682773
39,39,867482
40,40,502648
41,41,758108
42,42,761282
43,43,479083
44,44,345740
45,45,853164
46,46,405513
47,47,68323
48,48,285960
49,49,564983
50,50,412918
51,51,418458
52,52,55841
53,53,390642
54,54,198784
55,55,107096
56,56,92764
57,57,446790
58,58,610032
59,59,814914
60,60,533459
61,61,625043
62,62,492148
63,63,632413
64,64,917154
65,65,368226
66,66,3696
67,67,126310
68,68,937562
69,69,675673
70,70,805581
71,71,916496
72,72,839953
73,73,45740
74,74,106611
75,75,398172
76,76,468947
77,77,475828
78,78,773210
79,79,328785
80,80,588099
81,81,445376
82,82,706673
83,83,587520
84,84,801849
85,85,680089
86,86,112492
87,87,30099
88,88,753494
89,89,423177
90,90,930106
91,91,642762
92,92,271400
93,93,479336
94,94,767876
95,95,558969
96,96,91328
97,97,742800
98,98,982293
99,99,305505
100,100,457719
101,101,34540
102,102,157608
103,103,84700
104,104,980547
105,105,340676
106,106,711935
107,107,389770
108,108,396087
109,109,46002
110,110,49812
111,111,415842
112,112,715339
113,113,993561
114,114,257906
115,115,108946
116,116,66668
117,117,99003
118,118,735430
119,119,220462
120,120,829430
121,121,719174
122,122,628889
123,123,963111
124,124,269956
125,125,61844
126,126,725453
127,127,395395
128,128,699158
129,129,74601
130,130,925779
131,131,968078
132,132,310001
133,133,387699
134,134,494700
135,135,282844
136,136,782215
137,137,432680
138,138,173423
139,139,93330
140,140,225391
141,141,213606
142,142,407085
143,143,191387
144,144,241133
145,145,486904
146,146,414170
147,147,686915
148,148,325497
149,149,475406
150,150,438242
151,151,362916
152,152,178048
153,153,998082
154,154,353646
155,155,376087
156,156,371994
157,157,569383
158,158,145342
159,159,686268
160,160,801955
161,161,62433
162,162,964572
163,163,544279
164,164,272919
165,165,471017
166,166,347139
167,167,978754
168,168,147745
169,169,647096
170,170,682416
171,171,137686
172,172,7415
173,173,770326
174,174,437100
175,175,934468
176,176,955230
177,177,778493
178,178,299188
179,179,712509
180,180,168616
181,181,49976
182,182,425468
183,183,265976
184,184,221883
185,185,211509
186,186,496965
187,187,820580
188,188,978744
189,189,763529
190,190,518823
191,191,219526
192,192,898662
193,193,347220
194,194,994620
195,195,970963
196,196,824834
197,197,713087
198,198,38578
199,199,614741
200,200,415534
201,201,862147
202,202,208859
203,203,111435
204,204,740389
205,205,151538
206,206,882174
207,207,45475
208,208,846574
209,209,740520
210,210,157636
211,211,153484
212,212,93526
213,213,51001
214,214,844081
215,215,192029
216,216,428733
217,217,668516
218,218,940568
219,219,549999
220,220,554394
221,221,851890
222,222,934093
223,223,482488
224,224,392573
225,225,217583
226,226,363898
227,227,138286
228,228,227189
229,229,126479
230,230,420343
231,231,136213
232,232,553172
233,233,264852
234,234,804807
235,235,539376
236,236,319759
237,237,372282
238,238,700406
239,239,272158
240,240,719785
241,241,396489
242,242,702495
243,243,364986
244,244,948385
245,245,490238
246,246,78077
247,247,139784
248,248,205776
249,249,315018
250,250,69087
251,251,798729
252,252,764629
253,253,813560
254,254,592656
255,255,743859
256,256,341102
257,257,295064
258,258,251514
259,259,928660
260,260,142180
261,261,949349
262,262,920304
263,263,784192
264,264,435928
265,265,920114
266,266,601891
267,267,33872
268,268,272872
269,269,357246
270,270,488535
271,271,384193
272,272,807015
273,273,85774
274,274,924767
275,275,388518
276,276,198522
277,277,220357
278,278,412672
279,279,877550
280,280,65942
281,281,537977
282,282,950438
283,283,557564
284,284,509565
285,285,522552
286,286,626256
287,287,413089
288,288,799482
289,289,590504
290,290,739804
291,291,346184
292,292,545932
293,293,62021
294,294,692485
295,295,460115
296,296,42291
297,297,428276
298,298,394754
299,299,953680
300,300,303664
301,301,25675
302,302,673647
303,303,262318
304,304,92268
305,305,297142
306,306,708672
307,307,929616
308,308,629698
309,309,337369
310,310,831246
311,311,347235
312,312,312863
313,313,129887
314,314,296063
315,315,335299
316,316,333713
317,317,827760
318,318,201554
319,319,811050
320,320,558963
321,321,495010
322,322,805351
323,323,790605
324,324,371513
325,325,812832
326,326,181517
327,327,70305
328,328,692924
